epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,701.542,2.19528,1.89017,1.25492,0.89524,0.04789,0.47494,0.30665,2.27087,1.80442,1.28956,0.002921,0.002921,0.002921
44,717.774,2.21105,1.87668,1.25804,0.76786,0.13728,0.46315,0.22018,2.23483,1.82542,1.26563,0.0028715,0.0028715,0.0028715
45,733.975,2.17895,1.87347,1.25044,0.98485,0.05589,0.52022,0.25985,2.23047,1.79554,1.27705,0.002822,0.002822,0.002822
46,750.175,2.20092,1.88558,1.25923,0.83333,0.05217,0.44544,0.27671,2.214,1.80821,1.27005,0.0027725,0.0027725,0.0027725
47,766.354,2.20875,1.90018,1.25996,0.81868,0.04006,0.42951,0.25427,2.20275,1.7647,1.26871,0.002723,0.002723,0.002723
48,782.646,2.17669,1.86835,1.25378,0.88889,0.077,0.48833,0.2795,2.22746,1.78522,1.2662,0.0026735,0.0026735,0.0026735
49,798.877,2.1666,1.84404,1.2443,0.83871,0.17261,0.49725,0.27605,2.21692,1.78952,1.27231,0.002624,0.002624,0.002624
50,815.063,2.18586,1.85125,1.25196,0.87083,0.0965,0.48818,0.24888,2.21866,1.78164,1.26944,0.0025745,0.0025745,0.0025745
51,831.221,2.16902,1.85141,1.24646,0.78571,0.04006,0.41576,0.26539,2.18387,1.77655,1.26361,0.002525,0.002525,0.002525
52,847.428,2.164,1.84751,1.2486,0.71481,0.12517,0.40671,0.21099,2.1689,1.77338,1.25945,0.0024755,0.0024755,0.0024755
53,863.638,2.17226,1.84581,1.25652,0.65212,0.10211,0.3774,0.21808,2.19519,1.77529,1.26618,0.002426,0.002426,0.002426
54,879.93,2.1571,1.84247,1.24401,0.85749,0.13906,0.50013,0.2272,2.20403,1.7703,1.27069,0.0023765,0.0023765,0.0023765
55,896.154,2.16735,1.85954,1.24129,0.71471,0.0705,0.39707,0.24039,2.23522,1.81102,1.26901,0.002327,0.002327,0.002327
56,912.347,2.1519,1.82149,1.2414,0.88118,0.11394,0.50048,0.26434,2.19888,1.75809,1.26265,0.0022775,0.0022775,0.0022775
57,928.525,2.1664,1.84515,1.23751,0.86364,0.11644,0.48689,0.2571,2.19773,1.8293,1.2677,0.002228,0.002228,0.002228
58,944.715,2.15194,1.82364,1.2397,0.84343,0.05306,0.45342,0.26939,2.21604,1.78212,1.2727,0.0021785,0.0021785,0.0021785
59,960.909,2.13354,1.81822,1.23343,0.85556,0.10344,0.48612,0.26309,2.23177,1.75318,1.26623,0.002129,0.002129,0.002129
60,977.206,2.15134,1.82404,1.23758,0.92647,0.08233,0.50417,0.2509,2.19562,1.74696,1.26273,0.0020795,0.0020795,0.0020795
61,993.429,2.1499,1.82683,1.23595,0.82151,0.11911,0.46368,0.24264,2.25112,1.75887,1.27839,0.00203,0.00203,0.00203
62,1009.66,2.13591,1.81148,1.22091,0.811,0.11867,0.46557,0.2497,2.21989,1.75417,1.25521,0.0019805,0.0019805,0.0019805
63,1025.88,2.14068,1.81713,1.2298,0.76461,0.10833,0.43533,0.24748,2.24716,1.77707,1.27743,0.001931,0.001931,0.001931
