epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,629.075,2.51463,1.80337,1.08937,0.73513,0.24228,0.47828,0.23533,2.2777,1.48578,0.98207,0.005743,0.005743,0.005743
45,643.376,2.50151,1.79024,1.0951,0.6829,0.3731,0.50961,0.22579,2.28201,1.52124,0.99398,0.005644,0.005644,0.005644
46,657.661,2.517,1.78506,1.09644,0.65921,0.20908,0.41725,0.19938,2.32901,1.51837,0.99613,0.005545,0.005545,0.005545
47,672.079,2.5064,1.79098,1.08927,0.64842,0.34815,0.51257,0.24971,2.26929,1.47312,0.99708,0.005446,0.005446,0.005446
48,686.275,2.52447,1.7914,1.08512,0.74611,0.24054,0.49178,0.25105,2.2551,1.48628,0.97424,0.005347,0.005347,0.005347
49,700.44,2.51876,1.78306,1.09418,0.8223,0.21033,0.52393,0.27808,2.27517,1.5277,0.98493,0.005248,0.005248,0.005248
50,714.505,2.49999,1.78075,1.08923,0.76329,0.28002,0.52727,0.28003,2.14191,1.48695,0.9654,0.005149,0.005149,0.005149
51,728.633,2.50622,1.77116,1.09031,0.72722,0.28332,0.51386,0.24059,2.38682,1.52031,1.00003,0.00505,0.00505,0.00505
52,742.748,2.52386,1.80743,1.08782,0.72727,0.23674,0.50918,0.2133,2.32806,1.52002,0.99642,0.004951,0.004951,0.004951
53,757.11,2.48029,1.75856,1.07964,0.72086,0.32953,0.5238,0.24387,2.17046,1.46105,0.96861,0.004852,0.004852,0.004852
54,771.385,2.52278,1.7759,1.0853,0.59645,0.40845,0.50071,0.22221,2.25408,1.46814,0.97902,0.004753,0.004753,0.004753
55,785.87,2.48056,1.75403,1.08407,0.66213,0.36269,0.51079,0.25954,2.20016,1.44518,0.96842,0.004654,0.004654,0.004654
56,799.956,2.47688,1.7455,1.08232,0.65419,0.25558,0.4657,0.24583,2.16405,1.4708,0.97551,0.004555,0.004555,0.004555
57,814.025,2.47782,1.74873,1.07836,0.68391,0.22761,0.45787,0.21543,2.33729,1.48404,0.99351,0.004456,0.004456,0.004456
58,828.111,2.46253,1.7357,1.07814,0.6798,0.3179,0.50578,0.24531,2.21111,1.46382,0.97683,0.004357,0.004357,0.004357
59,842.17,2.45913,1.72206,1.07153,0.67143,0.24192,0.45842,0.22444,2.33775,1.4999,0.98258,0.004258,0.004258,0.004258
60,856.275,2.46553,1.72836,1.0672,0.73591,0.28305,0.50736,0.25038,2.29373,1.48347,0.97887,0.004159,0.004159,0.004159
61,870.5,2.45117,1.72104,1.07217,0.72731,0.30221,0.51912,0.25536,2.17008,1.46183,0.9659,0.00406,0.00406,0.00406
62,884.613,2.45072,1.72738,1.07393,0.74227,0.24948,0.47407,0.21815,2.27062,1.45494,0.97632,0.003961,0.003961,0.003961
63,898.697,2.43937,1.71782,1.07308,0.6526,0.26182,0.43324,0.22129,2.18591,1.44915,0.96569,0.003862,0.003862,0.003862
64,912.884,2.44442,1.72647,1.07107,0.68078,0.26241,0.48039,0.24031,2.25901,1.46877,0.96882,0.003763,0.003763,0.003763
65,927.175,2.4458,1.739,1.07168,0.66492,0.30226,0.45572,0.22827,2.26319,1.45627,0.98078,0.003664,0.003664,0.003664
66,941.342,2.42053,1.71248,1.06211,0.68094,0.3533,0.47607,0.19474,2.3777,1.48489,0.97815,0.003565,0.003565,0.003565
67,955.469,2.45657,1.70473,1.07384,0.62659,0.37672,0.48937,0.23157,2.19422,1.4639,0.96865,0.003466,0.003466,0.003466
68,969.567,2.43381,1.71376,1.07316,0.64863,0.33042,0.4406,0.21184,2.22805,1.47333,0.96549,0.003367,0.003367,0.003367
69,983.631,2.4276,1.70401,1.08188,0.68378,0.33111,0.49324,0.22733,2.31363,1.47613,0.98505,0.003268,0.003268,0.003268
70,997.766,2.42487,1.7055,1.06544,0.63768,0.37448,0.50446,0.24537,2.15974,1.42938,0.96209,0.003169,0.003169,0.003169
71,1011.98,2.40927,1.68394,1.06281,0.73143,0.33881,0.49917,0.24797,2.23639,1.44615,0.96864,0.00307,0.00307,0.00307
72,1026.24,2.41164,1.68406,1.06188,0.68292,0.37287,0.48275,0.22795,2.22424,1.45757,0.97152,0.002971,0.002971,0.002971
73,1040.55,2.44561,1.71082,1.0724,0.67891,0.38983,0.50072,0.23677,2.19023,1.43692,0.96478,0.002872,0.002872,0.002872
74,1054.88,2.41848,1.68489,1.06679,0.70608,0.44219,0.57755,0.28691,2.12365,1.40834,0.956,0.002773,0.002773,0.002773
75,1068.88,2.40482,1.6651,1.06028,0.73747,0.28635,0.50123,0.23277,2.31191,1.46493,0.98077,0.002674,0.002674,0.002674
76,1083.06,2.40314,1.65489,1.05767,0.65921,0.41239,0.52475,0.24062,2.27742,1.42775,0.97547,0.002575,0.002575,0.002575
77,1097.3,2.39693,1.65267,1.05767,0.68558,0.35229,0.48055,0.22678,2.17543,1.42818,0.95837,0.002476,0.002476,0.002476
78,1111.67,2.38749,1.66546,1.06458,0.67013,0.40946,0.54549,0.24675,2.30154,1.43394,0.97642,0.002377,0.002377,0.002377
79,1125.92,2.40325,1.66999,1.06267,0.68159,0.39405,0.49729,0.21807,2.26362,1.42915,0.97808,0.002278,0.002278,0.002278
80,1140.12,2.37839,1.66819,1.0585,0.70776,0.42363,0.54612,0.24635,2.24844,1.42679,0.96984,0.002179,0.002179,0.002179
81,1154.3,2.37531,1.65904,1.0528,0.67173,0.26883,0.43005,0.18961,2.21136,1.44959,0.96495,0.00208,0.00208,0.00208
82,1168.51,2.36531,1.65064,1.05851,0.67002,0.29895,0.45249,0.18728,2.29322,1.44087,0.98196,0.001981,0.001981,0.001981
83,1182.7,2.32062,1.58874,1.03942,0.691,0.42393,0.55202,0.27746,2.1638,1.35368,0.96224,0.001882,0.001882,0.001882
84,1196.88,2.29229,1.56067,1.04268,0.73829,0.45667,0.57146,0.2552,2.11129,1.34629,0.95355,0.001783,0.001783,0.001783
85,1211.34,2.26362,1.50132,1.03545,0.63801,0.50821,0.5192,0.23137,2.21143,1.33438,0.96343,0.001684,0.001684,0.001684
86,1225.67,2.2426,1.4835,1.028,0.6324,0.49715,0.53807,0.25796,2.10364,1.31761,0.95244,0.001585,0.001585,0.001585
87,1240.01,2.22206,1.45907,1.02849,0.58849,0.5093,0.5206,0.25307,2.07293,1.28834,0.94998,0.001486,0.001486,0.001486
88,1254.42,2.22618,1.48501,1.02831,0.65252,0.50197,0.57153,0.28753,2.02029,1.29087,0.94407,0.001387,0.001387,0.001387
89,1268.78,2.20571,1.45144,1.02698,0.57938,0.58303,0.55791,0.26682,2.06055,1.30095,0.9444,0.001288,0.001288,0.001288
90,1283.16,2.19483,1.44339,1.01292,0.60737,0.58404,0.57041,0.27647,2.02516,1.29041,0.93665,0.001189,0.001189,0.001189
